Black Forest Ham 12 Inch,6.11,580
Black Forest Ham 6 Inch,4.16,290
Chicken and Bacon Ranch Melt 12 Inch,8.60,1220
Chicken and Bacon Ranch Melt 6 Inch,5.27,610
Chipotle BBQ Snack Wrap Grilled,6.11,965
Chipotle Chicken Melt with Guacamole 12 Inch,9.16,960
Chipotle Chicken Melt with Guacamole 6 Inch,5.55,460
Classic Tuna 12 Inch,7.49,960
Classic Tuna 6 Inch,4.72,480
Cold Cut Combo 12 Inch,6.11,410
Cold Cut Combo 6 Inch,4.16,360
Italian BMT 12 Inch,7.49,820
Italian BMT 6 Inch,4.72,410
Meatball Marinara 6 Inch,4.16,485
Oven Roasted Chicken 12 Inch,7.49,640
Oven Roasted Chicken 6 Inch,4.72,320
Roast Beef 12 Inch,8.60,640
Roast Beef 6 Inch,5.27,320
Spicy Italian 12 Inch,6.11,960
Spicy Italian 6 Inch,4.16,480
Steak and Cheese 12 Inch,8.60,760
Steak and Cheese 6 Inch,5.27,380
Subway Club 12 Inch,8.60,620
Subway Club 6 Inch,5.27,310
Sweet Onion Chicken Teriyaki 12 Inch,8.60,740
Sweet Onion Chicken Teriyaki 6 Inch,5.27,370
Turkey Breast 12 Inch,7.49,560
Turkey Breast 6 Inch,4.72,280
Veggie Delite 12 Inch,6.11,460
Veggie Delite 6 Inch,4.16,230