7Layer Burrito,2.59,430
A.M. Crunchwrap  Bacon,2.49,660
A.M. Crunchwrap  Sausage,2.49,710
A.M. Crunchwrap  Steak,2.99,650
A.M. Grilled Taco  Bacon,1.00,230
A.M. Grilled Taco  Sausage,1.00,220
Bean Burrito,1.19,370
Beefy 5Layer Burrito,1.49,510
Beefy Fritos Burrito,1.00,440
Beefy Mini Quesadilla,1.00,210
Beefy Nacho Griller,1.49,400
Biscuit Taco  Bacon Egg and Cheese,2.69,380
Biscuit Taco  Chicken with Gravy,2.69,390
Biscuit Taco  Chicken with Jalapeno Honey,2.69,470
Biscuit Taco  Egg and Cheese,2.69,310
Burrito Supreme  Beef,2.79,410
California A.M. Crunchwrap,2.79,630
Cantina Power Bowl  Chicken,4.99,490
Cantina Power Bowl  Steak,5.19,500
Cantina Power Burrito  Chicken,3.79,460
Cantina Power Burrito  Steak,3.99,470
Capt Crunch Delights  12 Pack,4.49,970
Capt Crunch Delights  2 Pack,1.00,155
Capt Crunch Delights  4 Pack,1.69,320
Caramel Apple Empanada,1.00,310
Chalupa Supreme  Beef,2.49,370
Chalupa Supreme  Chicken,2.99,330
Chalupa Supreme  Steak,3.19,350
Cheese Quesadilla,2.19,460
Cheese RollUp,1.00,180
Cheesy Bean and Rice Burrito,1.00,420
Cheesy Burrito  Bacon,1.69,490
Cheesy Burrito  Fiesta Potato,1.69,530
Cheesy Burrito  Sausage,1.69,470
Cheesy Burrito  Steak and Egg,2.49,450
Cheesy Gordita Crunch,2.69,490
Cheesy Potato Burrito,2.59,510
Chicken Burrito,1.69,400
Chicken Quesadilla,3.19,510
Chicken Soft Taco,1.69,160
Chipotle Ranch Chicken Loaded Griller,1.49,280
Cinnabon Delights 12 Pack,4.49,985
Cinnabon Delights 2 Pack,1.00,160
Cinnabon Delights 4 Pack,1.69,330
Cinnamon Twists,1.00,165
Combo Burrito,2.39,460
Cool Ranch Doritos Locos Taco,1.49,160
Cool Ranch Doritos Locos Taco Supreme,1.79,200
Country AM Crunchwrap  Sausage,2.49,660
Country Grilled Breakfast Burrito  Sausage,1.29,390
Crunchwrap Supreme,2.69,540
Crunchy Taco,1.19,170
Crunchy Taco Supreme,1.49,200
Doritos Cheesy Gordita Crunch  Fiery,2.69,500
Doritos Cheesy Gordita Crunch  Nacho Cheese,2.69,520
Double Decker Taco,1.49,320
Double Decker Taco Supreme,1.79,350
Double Tostada,1.49,270
Fiery Doritos Locos Taco,1.49,170
Fiery Doritos Locos Taco Supreme,1.79,205
Fiesta Taco SaladBeef,4.99,780
Fiesta Taco SaladChicken,5.49,740
Gordita Supreme  Beef,2.39,290
Grande Scrambler Burrito  Bacon,2.49,680
Grande Scrambler Burrito  Sausage,2.49,670
Grande Scrambler Burrito  Steak,3.29,690
Grilled Breakfast Burrito  Bacon,1.29,350
Grilled Breakfast Burrito  Fiesta Potato,1.29,340
Grilled Breakfast Burrito  Sausage,1.29,340
Grilled Steak Soft Taco,1.99,200
Hash Brown,1.00,145
Loaded Potato Griller,1.49,450
Mexican Pizza,3.39,550
MexiMelt,2.19,250
Nacho Cheese Doritos Locos Taco,1.49,180
Nacho Cheese Doritos Locos Taco Supreme,1.79,220
Nachos BellGrande,2.99,760
Nachos Regular,1.29,310
Nachos Supreme,2.59,450
Premium Hot Coffee,1.49,10
Quesarito,2.29,650
Quesarito  Beef,2.29,675
Quesarito  Chicken,2.99,650
Quesarito  Steak,3.29,650
Rolled Chicken Tacos 2 Pack,1.99,360
Rolled Chicken Tacos 4 Pack,3.99,720
Sausage Flatbread Melt,1.00,300
Shredded Chicken Mini Quesadilla,1.00,220
Smothered Burrito  Beef,2.99,700
Smothered Burrito  Shredded Chicken,3.99,650
"Soft Drinks  Diet Choices, large ",1.99,23
"Soft Drinks  Diet Choices, Mediun ",1.89,11
"Soft Drinks  Diet Choices, small ",1.69,5
"Soft Drinks  NonDiet Choices, extra large ",2.19,340
"Soft Drinks  NonDiet Choices, extra large ",2.19,36
"Soft Drinks  NonDiet Choices, large ",1.99,280
"Soft Drinks  NonDiet Choices, Mediun ",1.89,220
"Soft Drinks  NonDiet Choices, small ",1.69,150
Soft Taco Supreme  Beef,1.49,220
Soft TacoBeef,1.19,190
Spicy Potato Soft Taco,1.00,250
Spicy Tostada,1.00,200
Steak Quesadilla,3.19,520
Triple Layer Nachos,1.00,320
Tropicana Orange Juice,1.99,140
Volcano Quesarito  Beef,2.69,700
Volcano Quesarito  Chicken,3.29,670
Volcano Quesarito  Steak,3.29,680
XXL Grilled Stuft Burrito  Beef,4.29,870
XXL Grilled Stuft Burrito  Chicken,4.99,830
XXL Grilled Stuft Burrito  Steak,5.29,840